1	-1	13	-3	-3	-2	2	3	0	-14	11	2	1	-1	-1	3	-1	1	20	12	-2	1	-2	2	-3	3	-2	-1	-5	-3	0	-1	0	-6	29	42	-2	-4	-11	1	0	-2	-2	2	1	-9	-2	-2	-8	-3	-3	-14	1	1	1	31	4	-7	-1	-1	-5	1	-20	4	63	19	1	0	-2	-2	-51	-20	-3	-9	-1	0	-2	-2	-3	-11	-2	-2	-1	-2	-8	-3	-4	6	0	-3	-1	16	51	1	4	-4	1	1	-1	18	-16	0	-42	-3	-22	1	-5	7	-2	-1	2	-41	-2	-5	0	-1	-1	-4	-1	1	-5	-3	19	-1	29	-6	-1	-1	18	3	-3	-1	27	-2	-1	2	-4	6	2	1	1	-3	1	0	3	2	-1	-2	2	74	-1	13	-1	-5	-3	0	19	-1	-1	-53	1	0	-60	3	1	-3	1	0	-8	68	0	-4	1	-1	1	-5	-13	-2	-29	-3	2	1	0	-2	-15	-2	-2	26	-1	-4	29	-2	-1	-2	-3	-2	-8	-1	-3	-4	-63	2	2	-3	-1	46	-2	-1	1	1	0	8	2	0	-2	-2	-4	-2	1	0	-16	-3	1	1	-3	-38	-5	-3	-12	-2	0	10	-4	-1	1	-1	-21	-4	-2	-1	-1	-1	1	0	-2	2	0	-1	-2	3	-3	-3	5	-2	0	25	-4	
3	-3	3	2	0	-32	9	-3	-1	-3	-1	-2	1	-2	3	-6	17	2	-6	2	3	6	4	1	1	-3	-5	-4	-2	3	0	-27	-1	7	-2	-1	-16	-2	0	3	-2	0	0	-2	-6	-99	-1	12	-2	2	-5	-3	2	1	17	1	-2	-3	-3	0	3	-1	-4	-3	3	-2	0	-1	26	3	70	3	2	-4	-1	-5	0	-1	1	-3	15	3	-30	10	0	-2	1	-8	0	5	1	-5	-11	-2	-2	-13	2	-22	-5	-4	-1	-4	0	-5	-7	-1	3	2	-2	42	1	-2	-5	-2	0	-4	4	4	75	-18	24	0	-2	2	0	-4	-3	0	4	0	-4	-1	1	-3	2	-8	2	2	7	-27	-8	-1	-3	15	1	0	-1	-10	-2	1	-2	4	-22	0	-3	10	-1	0	-2	0	-1	38	-5	2	11	0	-2	-1	-4	-2	2	1	-2	-16	0	1	-6	-2	-3	-5	8	2	10	5	1	-3	0	72	-1	0	37	-3	2	1	6	-4	-1	1	-5	-1	-4	1	-6	1	-11	-9	5	2	2	1	-1	-1	-3	-3	2	-1	-29	5	0	0	9	-5	-1	-4	20	0	-15	-15	71	2	1	1	-2	6	-2	26	1	-1	0	-4	-4	-2	0	1	-84	-2	-6	-2	6	-4	-3	-6	0	-17	-1	-19	-2	
5	1	-4	-3	47	-4	-23	0	-1	0	-4	3	-2	-1	1	-1	1	1	-6	0	-2	0	-1	-1	-2	0	2	-1	-1	26	1	-1	1	-2	-2	3	12	2	1	-34	0	-1	0	0	3	-7	-2	2	1	1	-9	16	-5	3	0	1	-1	-27	0	-1	0	2	-4	-9	0	2	2	-3	12	-3	2	28	-1	-3	-3	-5	-4	-2	0	1	-44	2	-4	-35	-4	0	-4	2	-3	0	-4	-1	2	2	-7	0	-3	0	1	38	-4	1	-35	-7	-19	9	-3	-3	-1	4	-1	1	2	-10	-5	26	-3	0	0	0	0	-11	-13	0	-26	5	-2	1	42	24	1	-5	-8	-2	-2	22	8	0	-6	2	-1	-3	6	1	-2	38	-16	1	-1	0	12	-33	-2	-4	-2	-3	-3	6	-45	-2	-1	1	5	0	25	12	-12	-2	1	3	0	-17	-1	0	2	2	-2	-1	-14	-1	-35	0	-19	-1	-5	40	1	-5	-4	1	1	-3	1	-1	-1	5	-1	9	-2	-5	-4	4	-1	-3	-2	-21	-3	-5	-1	-59	3	0	0	-2	-2	-1	16	1	-1	-2	1	1	-2	-2	13	-22	2	1	10	-2	-2	5	2	0	3	-14	-4	-1	-2	-3	-2	0	-2	10	-2	1	11	-1	-2	6	0	5	-1	2	0	-43	-3	
7	-1	2	3	-24	-10	-19	0	-1	1	-2	-42	-12	0	-13	16	-5	-5	0	-10	5	-2	0	1	1	0	0	-2	0	4	-3	-1	19	0	4	1	-30	-1	1	-5	2	1	-1	-1	0	-1	-39	-1	0	7	-2	0	-4	0	-2	-3	0	-1	0	5	0	1	0	-4	2	-4	16	3	-4	-3	14	1	0	1	-2	-1	1	1	-11	-3	28	6	-1	-2	0	20	8	-92	-1	-2	3	1	9	3	-1	-1	-20	-2	-2	1	-15	-3	-2	0	-18	0	-2	-3	-1	-1	-2	4	-2	-1	-2	-3	-3	-3	1	0	1	-2	-12	-1	0	-3	-19	-2	-1	0	-4	5	0	1	-1	-1	-6	0	0	0	-3	1	38	-13	-1	0	-2	-3	-1	9	-1	0	2	2	-3	1	30	6	-1	1	-2	-24	0	0	0	12	1	-21	-1	2	-2	103	0	2	-18	-3	1	-3	-3	0	-12	1	0	2	-3	-3	-7	2	19	-1	0	-1	-2	2	-6	-1	-1	-1	2	1	-1	-3	21	-41	7	-1	0	1	-1	-1	2	0	-2	-1	-43	-2	-2	-2	4	-4	-1	-34	0	-3	3	0	-2	1	0	0	-1	-4	-3	-1	-73	-3	7	-21	-3	23	-2	5	-1	0	-1	-22	-25	1	15	1	-62	-1	-1	0	1	-5	10	
9	-13	2	0	22	-7	0	4	1	-2	0	-1	-47	-1	-16	-3	0	4	-3	-1	-3	1	-2	-4	4	-1	1	2	-18	0	-1	-2	2	-1	-4	13	-5	1	0	0	-1	-3	-3	-1	-1	2	2	-7	-1	-13	6	-4	-1	1	0	0	-4	1	-20	0	-1	4	-3	-3	1	-18	-5	-4	-2	-18	-26	-2	1	-24	2	0	3	1	3	-1	-1	-2	1	0	-7	-1	2	173	16	2	4	42	-3	-32	-2	2	9	0	3	-6	0	-4	-2	2	-6	-3	1	-12	1	0	0	-1	-2	-5	-130	-1	22	29	-3	0	0	-4	0	3	-4	3	-8	-3	-50	2	1	-8	2	-2	73	-3	-2	-4	-2	7	-6	-8	-2	-4	-7	-3	-68	-4	-13	18	-5	-2	0	1	31	3	5	19	-2	1	0	-1	-2	2	2	0	-5	45	-2	-41	1	-13	-3	0	-11	0	3	-3	2	27	-3	-2	-4	0	-1	-2	0	-28	-20	-7	-13	-5	-4	-4	0	1	24	3	-17	10	-2	-4	-3	-5	-1	-4	0	22	-2	-3	-12	15	-1	0	0	-2	-6	-1	-3	9	1	-22	-4	-2	3	-1	-2	20	7	-2	0	-1	-1	1	-1	-10	-3	-1	0	-2	-2	61	-2	-12	0	-1	-1	-3	0	1	-1	-2	14	-4	3	-1	-1	
11	6	1	-2	-1	-4	3	-2	-10	2	-3	4	0	-17	-10	-7	-1	-1	0	-3	-4	0	5	-1	1	3	-1	1	1	-4	-3	28	0	-25	31	1	24	2	0	4	-7	1	1	1	-6	-1	11	-5	-5	-4	32	-1	-3	25	0	-2	1	-3	-5	0	3	1	0	1	15	0	2	0	-1	1	7	-4	-2	1	-2	7	-3	-4	-6	2	11	21	1	0	-1	0	11	106	204	52	14	62	2	17	-3	2	-5	3	3	1	0	4	2	-4	-3	-2	2	-2	-2	-42	-3	18	3	3	12	0	-2	-1	19	0	-1	0	-2	-2	2	1	-4	-1	24	2	-2	-2	0	-4	40	-5	-8	-1	5	-3	0	-2	-5	-2	0	-3	1	0	-3	-6	-1	2	-3	0	-15	-3	34	7	3	3	-38	2	-9	1	-3	69	-35	-5	-1	-4	-5	1	3	4	2	1	0	0	-1	-5	2	-37	10	0	1	17	0	-16	43	2	-1	-1	3	-16	5	-2	9	0	32	-1	1	2	1	1	2	-3	1	-2	0	2	4	-4	-21	-16	-17	1	-4	-4	0	1	44	-11	-3	-4	-1	1	2	-9	-1	7	0	0	2	-3	-2	-3	-11	-4	2	2	-1	6	-7	-2	-40	-2	-3	-9	-1	0	-45	-1	2	13	-4	-2	-1	
13	0	-2	1	2	7	-1	-51	1	2	-2	-4	1	-1	-9	-3	-3	4	-2	1	1	-5	0	-3	-8	-3	-3	-1	-1	2	36	-1	0	-4	-1	-3	-1	1	11	1	1	2	1	-1	-3	0	-3	6	-2	1	-2	-13	-1	26	-3	-1	-1	0	-92	1	3	-10	-1	-26	-3	1	-9	-3	0	1	-52	0	3	2	-3	2	-2	-1	-1	-4	0	-3	-2	-23	0	16	141	27	52	72	-5	-1	-6	-3	-49	-2	1	-6	2	-4	-2	-3	3	-1	-6	0	-2	-3	-4	-1	-8	-2	2	3	-1	-10	-1	-8	1	-1	-57	3	-2	2	0	-1	-6	-22	-45	-10	-3	2	-11	-3	-23	-7	-2	-13	26	18	-4	12	0	0	-2	1	2	-3	2	-6	-31	0	1	-3	2	-2	-31	1	44	-3	31	1	-1	0	-15	1	-4	-2	2	-2	-1	0	-4	22	4	-1	5	7	-53	33	-1	-1	-2	1	-3	-3	-6	-5	-1	-17	-8	1	-1	-3	-6	-1	-4	-1	-2	-3	-2	-2	2	-1	-3	-113	-3	-21	-1	0	3	11	-1	3	45	-1	-54	1	-1	0	-1	-2	-1	-3	-1	-4	-2	-3	-4	-3	-1	10	-1	0	10	-8	1	2	-2	-3	1	-3	-2	-4	-2	39	-7	-1	2	-4	-4	0	3	17	-2	1	-3	
15	0	1	-1	24	0	40	-10	16	1	1	1	-3	2	-50	2	2	-17	2	-4	2	-2	-3	0	-5	1	-1	1	2	2	5	-1	0	-3	0	15	3	-1	1	-2	-2	21	1	-4	-3	-5	-4	-3	2	1	-1	-2	-4	4	-3	-1	0	2	3	-8	19	2	0	-1	-1	-1	2	-1	-2	-1	0	-1	-43	-1	-1	-4	17	-3	-2	-5	2	-2	-2	-2	2	-2	-1	-2	-5	6	15	4	1	0	-1	-4	1	-4	-8	-9	-2	-106	-1	1	-1	-3	1	3	2	1	-4	2	2	0	-5	-3	-20	2	2	-2	2	8	1	4	1	34	1	-1	2	-2	-4	0	-14	48	0	-1	35	0	6	-3	0	-1	1	3	-3	-1	-31	1	5	-2	-41	-1	2	-1	1	24	-1	7	12	-3	24	5	0	-2	-2	30	-3	-17	-1	-1	-2	33	37	-1	-6	-3	-1	-4	0	1	-1	1	1	2	59	0	-19	-13	-3	1	0	0	-5	30	0	15	-2	4	-1	-25	-1	-5	0	0	-4	-1	-4	6	-3	0	-1	-2	-3	-12	-31	0	4	0	-2	3	-2	-1	1	0	-1	17	2	-1	-3	1	-4	-4	0	-3	3	-23	10	9	-1	-11	-2	-1	1	4	-1	-3	-8	-1	0	2	7	-4	-3	14	9	14	27	
17	1	2	-2	-1	0	-2	1	-2	-20	2	1	-5	-2	1	-2	0	28	2	-2	0	0	-2	-2	29	-2	46	11	3	-3	0	-1	-6	1	-2	0	1	2	0	0	-2	1	2	0	-74	-2	1	16	0	2	-5	-11	-1	-2	-14	1	-3	-4	0	0	-2	0	-1	3	-1	3	-1	5	1	14	-1	0	8	-18	2	-4	1	1	-4	0	0	-4	-19	0	-13	-17	-3	-2	-1	1	-4	0	-1	5	-3	-2	-2	-52	1	4	-37	-4	2	-1	0	-4	-2	-4	-2	-27	-57	-2	-21	0	0	19	-2	-2	-2	-4	0	2	-3	2	-1	5	1	-26	-1	-2	-24	2	-15	1	0	4	-2	-1	-13	-3	-1	0	1	-6	-3	12	0	-1	0	-1	-7	2	-4	1	1	0	0	1	-9	0	33	-4	31	-18	-3	-2	3	16	-2	0	-1	-5	0	-2	19	-7	-1	1	0	0	-2	2	1	-3	1	-2	2	11	14	1	-1	4	-1	3	-3	-2	-1	-24	1	0	0	4	-25	0	7	1	3	-2	-1	-12	33	-6	7	-2	-1	0	-1	2	-2	-2	0	3	-1	2	-5	0	7	-21	1	0	1	0	-6	-1	-7	-1	-2	3	-2	-4	-47	-3	1	-2	1	1	-7	16	22	0	1	-1	-19	-1	-1	14	-15	
19	-1	-1	-4	3	0	0	-32	0	-17	-15	-13	1	-1	-4	7	-9	-2	27	-3	2	0	-2	1	12	8	1	-2	-1	-11	7	13	0	1	2	1	-1	-1	-1	-3	-1	1	-7	-4	8	-28	1	3	1	-6	0	-3	1	-3	-15	-3	-3	-2	-71	-3	-2	-2	0	-1	0	1	-1	1	3	0	1	-1	-6	-3	23	-4	-3	20	17	-2	-4	2	2	0	0	0	3	1	-4	1	3	41	-2	-3	-4	0	-5	2	-20	0	-3	0	10	-1	-2	-4	-3	0	2	-1	-19	2	-10	-5	2	22	-5	-2	-3	7	-40	-3	-2	-1	-4	82	8	-1	-4	-2	-1	-19	-4	-3	-1	-2	-5	-3	2	1	-4	-3	-3	-41	-1	5	0	-30	0	-5	2	-3	-4	-3	8	-3	-2	-1	0	0	0	-3	-1	0	2	-3	-24	-12	-2	-1	1	-3	-8	-11	-2	-43	2	1	0	0	-2	17	-3	-5	2	-1	-5	-1	-2	-1	-2	-1	-1	-2	9	1	0	-4	0	-2	-9	0	-8	-4	18	-10	-2	34	-1	-19	-2	-4	0	2	1	-6	-3	-7	27	-4	-4	1	-4	-5	0	-2	-3	-9	-2	-2	-11	-3	14	-3	-3	0	0	-1	-1	44	1	1	-4	1	-2	4	0	-5	-3	3	51	-1	-2	1	-2	5	7	
